Gene	Non-unique Gene name	Annotation
group_2338	stoA	Sporulation thiol-disulfide oxidoreductase A
stoA		Sporulation thiol-disulfide oxidoreductase A
group_234		hypothetical protein
group_2342		hypothetical protein
group_2343		hypothetical protein
group_2345		hypothetical protein
group_2346		hypothetical protein
group_2347		hypothetical protein
group_2353		hypothetical protein
group_2354		hypothetical protein
group_2359		hypothetical protein
group_2361		hypothetical protein
group_2362		hypothetical protein
group_2363		hypothetical protein
group_2364		hypothetical protein
group_2365		hypothetical protein
group_2371		hypothetical protein
group_2378		hypothetical protein
group_238		hypothetical protein
group_2381		hypothetical protein
group_2385		hypothetical protein
group_2400		hypothetical protein
group_2408		hypothetical protein
group_2413		hypothetical protein
group_2414		hypothetical protein
group_242		hypothetical protein
group_2423		hypothetical protein
group_2433		hypothetical protein
group_2444		hypothetical protein
typA_2		GTP-binding protein TypA/BipA
group_245		hypothetical protein
fapR_2		Transcription factor FapR
trmFO_2		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
group_247		hypothetical protein
codY_1		GTP-sensing transcriptional pleiotropic repressor CodY
phaB_2		Acetoacetyl-CoA reductase
pgsA_2		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
pgsA_3		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
cinA_2		Putative competence-damage inducible protein
pcrB_1		Heptaprenylglyceryl phosphate synthase
group_25	sdrD	Serine-aspartate repeat-containing protein D
group_2501	scn_3	Staphylococcal complement inhibitor
group_2502	scn_1	Staphylococcal complement inhibitor
sak_2		Staphylokinase
group_2507	sak	Staphylokinase
group_251		hypothetical protein
group_2511		hypothetical protein
group_2512		hypothetical protein
group_2515		hypothetical protein
group_2516		hypothetical protein
group_2517		hypothetical protein
group_2520		hypothetical protein
group_2521		hypothetical protein
group_2523		hypothetical protein
group_2525		hypothetical protein
group_2526		hypothetical protein
group_2527		hypothetical protein
group_2537		hypothetical protein
group_2539	treR_1	HTH-type transcriptional regulator TreR
group_2574		hypothetical protein
group_2587		hypothetical protein
group_2594		hypothetical protein
group_2596		hypothetical protein
group_260	entA_1	Enterotoxin type A
group_2600	czcD_1	Cadmium, cobalt and zinc/H( )-K( ) antiporter
group_2606	cap8A_2	Capsular polysaccharide type 8 biosynthesis protein cap8A
group_261	entA_2	Enterotoxin type A
norB_6		Quinolone resistance protein NorB
alsT_1		Amino-acid carrier protein AlsT
group_2621	alsT	Amino-acid carrier protein AlsT
group_2623		hypothetical protein
phoU_1		Phosphate-specific transport system accessory protein PhoU 
group_2637		putative CtpA-like serine protease
group_2638		putative CtpA-like serine protease
group_264	entA_2	Enterotoxin type A
nusB_2		N utilization substance protein B 
group_2656		hypothetical protein
group_2658		hypothetical protein
blaR1_2		Regulatory protein BlaR1
lytC_2		N-acetylmuramoyl-L-alanine amidase LytC
group_2673		hypothetical protein
fpgS_2		Folylpolyglutamate synthase
blaR1_1		Regulatory protein BlaR1
ribA		GTP cyclohydrolase-2
group_27	sdrC	Serine-aspartate repeat-containing protein C
group_271	blaR1_2	Regulatory protein BlaR1
group_2712		hypothetical protein
group_272	blaR1	Regulatory protein BlaR1
group_2728		hypothetical protein
group_2735	betA_1	Oxygen-dependent choline dehydrogenase
gtf2_1		Glycosyltransferase stabilizing protein Gtf2
group_2759		hypothetical protein
group_276		hypothetical protein
hutH_2		Histidine ammonia-lyase
group_2769		hypothetical protein
swrC_1		Swarming motility protein SwrC
group_2780		hypothetical protein
ssaA2_5		Staphylococcal secretory antigen ssaA2
group_279		hypothetical protein
group_280		hypothetical protein
group_2807		hypothetical protein
group_2808		hypothetical protein
group_281		hypothetical protein
group_2819		hypothetical protein
thiD_2		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
tenA_1		Aminopyrimidine aminohydrolase
group_2842		tRNA-Asn(gtt)
group_2847		tRNA-Tyr(gta)
group_2848		tRNA-Tyr(gta)
group_2849		tRNA-Tyr(gta)
dgk_2		Deoxyguanosine kinase
group_2853		putative epimerase/dehydratase
araB_2		Ribulokinase
gabR_2		HTH-type transcriptional regulatory protein GabR
group_2863	gabR	HTH-type transcriptional regulatory protein GabR
group_2871		hypothetical protein
lacE_1		PTS system lactose-specific EIICB component
group_2877		hypothetical protein
group_2878		hypothetical protein
group_2879		hypothetical protein
group_288		hypothetical protein
group_2884		tRNA-His(gtg)
group_2887		tRNA-His(gtg)
group_2888		tRNA-His(gtg)
group_2889		tRNA-His(gtg)
group_2890		tRNA-His(gtg)
group_2891		tRNA-His(gtg)
group_2892		tRNA-His(gtg)
group_2895		hypothetical protein
group_2896		hypothetical protein
group_29	sdrC	Serine-aspartate repeat-containing protein C
group_290		hypothetical protein
group_2915		putative lipoprotein
cadC_1		Cadmium resistance transcriptional regulatory protein CadC
group_2938		hypothetical protein
group_294		hypothetical protein
immR_3		HTH-type transcriptional regulator ImmR
group_2948		hypothetical protein
group_2949		hypothetical protein
marA_2		Multiple antibiotic resistance protein MarA
group_296		hypothetical protein
group_2965		hypothetical protein
group_297	melR_2	Melibiose operon regulatory protein
group_298		hypothetical protein
group_2983		hypothetical protein
group_2985		hypothetical protein
group_2988		hypothetical protein
group_2989		hypothetical protein
group_2991		hypothetical protein
recF_1		DNA replication and repair protein RecF
bbp_1		Bone sialoprotein-binding protein
recF_3		DNA replication and repair protein RecF
group_3001	recF_2	DNA replication and repair protein RecF
group_3006		hypothetical protein
group_3009		hypothetical protein
group_3013		hypothetical protein
group_3014		hypothetical protein
group_3015		hypothetical protein
group_3020		hypothetical protein
group_3023	ant1_1	Streptomycin 3''-adenylyltransferase
group_3025		hypothetical protein
group_3026		hypothetical protein
group_3027		hypothetical protein
group_3034		hypothetical protein
group_3035		hypothetical protein
group_3041		hypothetical protein
group_3044		hypothetical protein
group_3050		hypothetical protein
murF_3		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
murF_4		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_3066	murF_3	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_307		hypothetical protein
group_3085		hypothetical protein
group_3087		hypothetical protein
group_3090		hypothetical protein
group_3091		hypothetical protein
group_3093		hypothetical protein
group_3094		hypothetical protein
group_3095		hypothetical protein
group_3096		hypothetical protein
group_3097		hypothetical protein
group_3098		hypothetical protein
group_31	bbp_2	Bone sialoprotein-binding protein
group_3104		hypothetical protein
group_311		hypothetical protein
group_3111		hypothetical protein
group_3113		hypothetical protein
group_3114		hypothetical protein
prtR_2		HTH-type transcriptional regulator PrtR
group_3119		putative HTH-type transcriptional regulator
group_312		hypothetical protein
group_3120	lexA_2	LexA repressor
group_313		hypothetical protein
group_3140		hypothetical protein
group_3149	yflS_2	Putative malate transporter YflS
lexA_5		LexA repressor
group_3156		hypothetical protein
group_3160		hypothetical protein
group_3163		hypothetical protein
group_3166		Staphylocoagulase
group_317		hypothetical protein
yhfS_2		Putative acetyl-CoA C-acetyltransferase YhfS
group_318		hypothetical protein
group_3189	sle1_2	N-acetylmuramoyl-L-alanine amidase sle1
group_32	sdrD	Serine-aspartate repeat-containing protein D
gapA1_2		Glyceraldehyde-3-phosphate dehydrogenase 1
group_322		hypothetical protein
group_3223		hypothetical protein
cspC		Cold shock protein CspC
group_323		hypothetical protein
group_324		hypothetical protein
group_329		hypothetical protein
group_330		hypothetical protein
group_3302		hypothetical protein
group_3306		hypothetical protein
group_331		hypothetical protein
group_3313		hypothetical protein
group_3315		hypothetical protein
group_3316		hypothetical protein
group_3317		hypothetical protein
group_3326		hypothetical protein
group_335		hypothetical protein
group_337		hypothetical protein
group_338		hypothetical protein
group_339		hypothetical protein
group_341		hypothetical protein
group_3414		hypothetical protein
parC_1		DNA topoisomerase 4 subunit A
murG_2		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
group_343		hypothetical protein
group_344		hypothetical protein
aroE_1		Shikimate dehydrogenase (NADP( ))
rplE_2		50S ribosomal protein L5
group_351		hypothetical protein
sarR_2		HTH-type transcriptional regulator SarR
group_354		hypothetical protein
group_355		hypothetical protein
yhfK_2		putative sugar epimerase YhfK
group_357	yezG_3	putative antitoxin YezG
group_3578		hypothetical protein
group_3591		hypothetical protein
group_3592		hypothetical protein
group_36	bbp_2	Bone sialoprotein-binding protein
group_3608		hypothetical protein
group_361	yezG_3	putative antitoxin YezG
group_3611		hypothetical protein
group_3613		hypothetical protein
group_364	yezG_7	putative antitoxin YezG
group_3646		hypothetical protein
group_365		hypothetical protein
esxD_2		ESAT-6 secretion system extracellular protein D
yezG_9		putative antitoxin YezG
group_3661		hypothetical protein
group_367		hypothetical protein
group_3697		hypothetical protein
group_3700		hypothetical protein
group_3701		hypothetical protein
group_3703		hypothetical protein
pre_3		Plasmid recombination enzyme
pre_4		Plasmid recombination enzyme
group_3722		hypothetical protein
group_3739		hypothetical protein
group_3742		hypothetical protein
group_3744		hypothetical protein
group_3746		hypothetical protein
group_3747		hypothetical protein
group_3754		hypothetical protein
group_3755		hypothetical protein
group_376		hypothetical protein
group_3765		hypothetical protein
group_3767	trxB_2	Thioredoxin reductase
trxB_3		Thioredoxin reductase
group_3773		hypothetical protein
group_3775		hypothetical protein
group_3777		hypothetical protein
group_3779		hypothetical protein
group_3798		hypothetical protein
group_38	sdrD	Serine-aspartate repeat-containing protein D
group_382		hypothetical protein
group_3831		hypothetical protein
group_3832		hypothetical protein
group_3835		hypothetical protein
group_3837		hypothetical protein
group_3843		hypothetical protein
group_3859	ohrR_2	Organic hydroperoxide resistance transcriptional regulator
ohrR_2		Organic hydroperoxide resistance transcriptional regulator
group_3862	acuI_2	putative acrylyl-CoA reductase AcuI
acuI_2		putative acrylyl-CoA reductase AcuI
qacC_2		Quaternary ammonium compound-resistance protein QacC
qacC_1		Quaternary ammonium compound-resistance protein QacC
group_3885		hypothetical protein
group_3886		hypothetical protein
group_39	sdrE	Serine-aspartate repeat-containing protein E
group_3902		hypothetical protein
group_3904		hypothetical protein
group_3906		hypothetical protein
group_3912	entA_5	Enterotoxin type A
group_3914		hypothetical protein
group_3916		hypothetical protein
group_392	lpl2_5	putative lipoprotein
entA_7		Enterotoxin type A
entA_6		Enterotoxin type A
group_3938		hypothetical protein
group_3939		hypothetical protein
group_3940		hypothetical protein
group_3951		hypothetical protein
group_3956		hypothetical protein
group_3966		hypothetical protein
group_3967		hypothetical protein
group_3976		hypothetical protein
group_398	yezG_5	putative antitoxin YezG
group_399	yezG_2	putative antitoxin YezG
group_40	sdrD	Serine-aspartate repeat-containing protein D
group_400		hypothetical protein
group_4006		hypothetical protein
merB_1		Alkylmercury lyase
merB_2		Alkylmercury lyase
group_401	yezG_4	putative antitoxin YezG
group_4012		hypothetical protein
group_402		hypothetical protein
group_4023		hypothetical protein
group_4045	xerD_2	Tyrosine recombinase XerD
group_4049		hypothetical protein
group_4052		hypothetical protein
group_4065		hypothetical protein
group_4068		hypothetical protein
group_4069		Staphylocoagulase
group_407	yezG_2	putative antitoxin YezG
group_4070	ssp	Extracellular matrix protein-binding protein emp
group_410		hypothetical protein
group_4108		hypothetical protein
group_4115		hypothetical protein
group_4116		hypothetical protein
group_4117		hypothetical protein
group_4118		hypothetical protein
group_4122	yezG_1	putative antitoxin YezG
group_413		hypothetical protein
group_4134		hypothetical protein
group_4135		hypothetical protein
group_4144		putative lipoprotein
group_4152		hypothetical protein
group_4178	menC	o-succinylbenzoate synthase
group_4180		hypothetical protein
group_4183		hypothetical protein
group_4184		hypothetical protein
group_4188		hypothetical protein
group_419		hypothetical protein
group_4194		hypothetical protein
hpaIIM		Modification methylase HpaII
group_4199		hypothetical protein
group_420		hypothetical protein
group_4200		hypothetical protein
group_4202		hypothetical protein
group_4203		hypothetical protein
group_4204		hypothetical protein
group_4205		hypothetical protein
group_4208		hypothetical protein
group_421		hypothetical protein
group_4214		hypothetical protein
group_4215		hypothetical protein
group_4216		hypothetical protein
group_4217		hypothetical protein
group_4218		hypothetical protein
group_4219		hypothetical protein
group_4220		hypothetical protein
group_4221		hypothetical protein
group_4222		hypothetical protein
group_4223		hypothetical protein
tnsC		Transposon Tn7 transposition protein TnsC
group_4232		tRNA-Leu(taa)
group_4234		tRNA-Arg(acg)
group_4249		hypothetical protein
yvgN_2		Glyoxal reductase
group_4315		Acetyltransferase
group_4316		hypothetical protein
group_4318		hypothetical protein
fabI_2		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
group_4344		hypothetical protein
group_4345		hypothetical protein
walR_2		Transcriptional regulatory protein WalR
walK_2		Sensor protein kinase WalK
vanH		D-specific alpha-keto acid dehydrogenase
vanA		Vancomycin/teicoplanin A-type resistance protein VanA
vanY		D-alanyl-D-alanine carboxypeptidase
group_4351		hypothetical protein
group_4352		hypothetical protein
group_436		hypothetical protein
bin3_2		Putative transposon Tn552 DNA-invertase bin3
group_4363		hypothetical protein
group_4395		hypothetical protein
group_4397	bin3	Putative transposon Tn552 DNA-invertase bin3
group_4401		hypothetical protein
group_4423		hypothetical protein
group_4443		hypothetical protein
murI_2		Glutamate racemase
group_4447		hypothetical protein
citZ_1		Citrate synthase 2
group_4449		hypothetical protein
sph		Oleate hydratase
group_4451		hypothetical protein
trxB_2		Thioredoxin reductase
gdpP_1		Cyclic-di-AMP phosphodiesterase GdpP
group_4454		hypothetical protein
group_4456	polA_1	DNA polymerase I
group_4457		hypothetical protein
saeR_2		Response regulator SaeR
hslU_2		ATP-dependent protease ATPase subunit HslU
group_4461	ant1	Streptomycin 3''-adenylyltransferase
group_4464		hypothetical protein
nagB_3		Glucosamine-6-phosphate deaminase
group_4466		Putative TrmH family tRNA/rRNA methyltransferase
group_4467		hypothetical protein
groL_1		60 kDa chaperonin
rplC_2		50S ribosomal protein L3
group_4484		hypothetical protein
group_4485		hypothetical protein
group_4486		hypothetical protein
group_4487		hypothetical protein
group_4489		hypothetical protein
sbcC_2		Nuclease SbcCD subunit C
group_4492		hypothetical protein
group_4493		hypothetical protein
group_4494		hypothetical protein
icaA_2		Poly-beta-1,6-N-acetyl-D-glucosamine synthase
group_4496		hypothetical protein
group_4497		tRNA-Val(tac)
accD_1		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
sbcC_1		Nuclease SbcCD subunit C
group_4500		hypothetical protein
group_4501		hypothetical protein
dnaD_1		DNA replication protein DnaD
rplI_2		50S ribosomal protein L9
group_4504	femB_1	Aminoacyltransferase FemB
addA_2		ATP-dependent helicase/nuclease subunit A
yrrK_1		Putative pre-16S rRNA nuclease
group_4507	ktrB_2	Ktr system potassium uptake protein B
group_4508		hypothetical protein
group_4509		hypothetical protein
pstS_1		Phosphate-binding protein PstS
ylmA_1		putative ABC transporter ATP-binding protein YlmA
group_4512		hypothetical protein
group_4513		hypothetical protein
opuCA_2		Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
tcaR_2		HTH-type transcriptional regulator TcaR
group_4516		hypothetical protein
iscS_3		Cysteine desulfurase IscS
group_4519		hypothetical protein
group_4520		hypothetical protein
group_4521		hypothetical protein
group_4522	rnmV_2	Ribonuclease M5
rpoZ_2		DNA-directed RNA polymerase subunit omega
group_4524	lytR_1	Transcriptional regulator LytR
group_4525		hypothetical protein
pfkA_2		ATP-dependent 6-phosphofructokinase
glmM_1		Phosphoglucosamine mutase
hisB_1		Imidazoleglycerol-phosphate dehydratase
group_4529		tRNA-Phe(gaa)
ndk_2		Nucleoside diphosphate kinase
group_4531		Putative TrmH family tRNA/rRNA methyltransferase
group_4532		hypothetical protein
group_4533		hypothetical protein
group_4535		hypothetical protein
group_4536		hypothetical protein
group_4537		Putative phosphatase
gapA2_2		Glyceraldehyde-3-phosphate dehydrogenase 2
group_4539		hypothetical protein
astD		N-succinylglutamate 5-semialdehyde dehydrogenase
group_4542	ybiT_2	putative ABC transporter ATP-binding protein YbiT
group_4543		hypothetical protein
mqo2_2		putative malate:quinone oxidoreductase 2
group_4545		hypothetical protein
pflA_2		Pyruvate formate-lyase-activating enzyme
group_4547		hypothetical protein
group_4548	citN_2	Citrate transporter
group_4549		hypothetical protein
group_4550		hypothetical protein
rarA		Replication-associated recombination protein A
pdhB_2		Pyruvate dehydrogenase E1 component subunit beta
asp2_2		Accessory Sec system protein Asp2
group_4554		hypothetical protein
mnhG1_2		Na( )/H( ) antiporter subunit G1
group_4556		hypothetical protein
liaR_2		Transcriptional regulatory protein LiaR
coaE_1		Dephospho-CoA kinase
purB_1		Adenylosuccinate lyase
group_4560		hypothetical protein
pbuG_2		Guanine/hypoxanthine permease PbuG
group_4562		hypothetical protein
group_4563		hypothetical protein
group_4564		hypothetical protein
opuCD_2		Carnitine transport permease protein OpuCD
group_4566	aldA_2	Putative aldehyde dehydrogenase AldA
group_4567		hypothetical protein
group_4568		hypothetical protein
fnbA_3		Fibronectin-binding protein A
amaA_2		N-acyl-L-amino acid amidohydrolase
group_4573	rplGA	putative ribosomal protein YlxQ
group_4574	oatA_2	O-acetyltransferase OatA
group_4575		hypothetical protein
group_4576		hypothetical protein
group_461		hypothetical protein
group_4617	oppD_3	Oligopeptide transport ATP-binding protein OppD
group_4618		hypothetical protein
group_4619		hypothetical protein
clpL_1		ATP-dependent Clp protease ATP-binding subunit ClpL
ureA_1		Urease subunit gamma
entB_1		Enterotoxin type B
group_4624		putative transcriptional regulatory protein
fabZ_1		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
pflB_2		Formate acetyltransferase
acpP_2		Acyl carrier protein
group_4628	yciC_2	Putative metal chaperone YciC
rimM_2		Ribosome maturation factor RimM
group_4630		Glycine cleavage system H-like protein
group_4631		hypothetical protein
murA2_1		UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
dacA_1		Diadenylate cyclase
yxdL_1		ABC transporter ATP-binding protein YxdL
group_4640		Putative multidrug export ATP-binding/permease protein
group_4643		hypothetical protein
group_4645		hypothetical protein
group_4647		hypothetical protein
group_4649		hypothetical protein
group_4651		hypothetical protein
group_4657		hypothetical protein
murC_1		UDP-N-acetylmuramate--L-alanine ligase
group_4661		hypothetical protein
group_4662		hypothetical protein
group_4664		hypothetical protein
fabZ_3		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
group_4666		hypothetical protein
ychF_1		Ribosome-binding ATPase YchF
group_4677		hypothetical protein
hslO_2		33 kDa chaperonin
lipM_2		Octanoyltransferase LipM
group_4685		hypothetical protein
group_4687		hypothetical protein
group_4688		hypothetical protein
group_4689		hypothetical protein
group_4697	ywqD_2	Tyrosine-protein kinase YwqD
group_4698		hypothetical protein
group_4699		hypothetical protein
group_470		hypothetical protein
group_4703		hypothetical protein
group_4704		hypothetical protein
group_4705		hypothetical protein
group_471		hypothetical protein
group_4714		hypothetical protein
group_4717		hypothetical protein
lcfB_2		Long-chain-fatty-acid--CoA ligase
group_4722		hypothetical protein
group_4723		hypothetical protein
radA_1		DNA repair protein RadA
group_4725		hypothetical protein
group_4726		tRNA-Ser(tga)
group_4727		tRNA-Ser(tga)
group_4728		hypothetical protein
group_4729		tRNA-His(gtg)
group_4730		hypothetical protein
group_4731		hypothetical protein
group_4732	glmM_1	Phosphoglucosamine mutase
group_4733		tRNA-Leu(tag)
nikC		Nickel transport system permease protein NikC
group_4735		hypothetical protein
group_4736		65 kDa membrane protein
guaC_2		GMP reductase
ureC_2		Urease subunit alpha
ptsI_1		Phosphoenolpyruvate-protein phosphotransferase
group_4740	phnE_1	Phosphate-import permease protein PhnE
group_4741		hypothetical protein
group_4742		hypothetical protein
rpsJ_2		30S ribosomal protein S10
group_4745		hypothetical protein
ssaA_3		Staphylococcal secretory antigen SsaA
group_4747		hypothetical protein
alaS_2		Alanine--tRNA ligase
ythA_2		Putative cytochrome bd menaquinol oxidase subunit I
group_475		hypothetical protein
bioY_2		Biotin transporter BioY
nfo_2		putative endonuclease 4
group_4752		hypothetical protein
group_4753	gpmA_2	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
group_4754		hypothetical protein
group_4755		NAD-dependent malic enzyme
atpF_1		ATP synthase subunit b
group_4757		hypothetical protein
group_4758		hypothetical protein
murA1_1		UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
group_4760		hypothetical protein
ptsH_1		Phosphocarrier protein HPr
group_4762		hypothetical protein
betA_1		Oxygen-dependent choline dehydrogenase
group_4764		hypothetical protein
group_4765		hypothetical protein
group_4766	nagB_2	Glucosamine-6-phosphate deaminase
dnaK_2		Chaperone protein DnaK
group_4768		hypothetical protein
rpsZ_2		30S ribosomal protein S14 type Z
group_477		hypothetical protein
group_4770		hypothetical protein
pgl_2		6-phosphogluconolactonase
rplX_2		50S ribosomal protein L24
group_4773		hypothetical protein
group_4774	glpP	Glycerol uptake operon antiterminator regulatory protein
group_4775		hypothetical protein
group_4776	natA_1	ABC transporter ATP-binding protein NatA
nasB		Assimilatory nitrate reductase electron transfer subunit
whiA_2		Putative sporulation transcription regulator WhiA
isdE_2		High-affinity heme uptake system protein IsdE
group_478		hypothetical protein
group_4780		5S ribosomal RNA (partial)
group_4781		hypothetical protein
group_4782		hypothetical protein
group_4783		hypothetical protein
group_4784		hypothetical protein
ilvD_1		Dihydroxy-acid dehydratase
group_4786		hypothetical protein
group_4787		hypothetical protein
group_4788	lytN_3	putative cell wall hydrolase LytN
group_4789		hypothetical protein
group_479		hypothetical protein
ptsG_4		PTS system glucose-specific EIICBA component
rnr_2		Ribonuclease R
group_4792		hypothetical protein
feoB_3		Fe(2 ) transporter FeoB
group_4794		hypothetical protein
group_4795		hypothetical protein
group_4796		hypothetical protein
yabJ_1		2-iminobutanoate/2-iminopropanoate deaminase
group_4798		hypothetical protein
group_4799		hypothetical protein
group_4800		hypothetical protein
carB_2		Carbamoyl-phosphate synthase large chain
group_4802		PTS system EIIBC component
rnmV_3		Ribonuclease M5
pfkA_1		ATP-dependent 6-phosphofructokinase
group_4805		hypothetical protein
group_4806		hypothetical protein
group_4807		hypothetical protein
group_4808		hypothetical protein
aldA_2		Putative aldehyde dehydrogenase AldA
group_4810		hypothetical protein
group_4811		hypothetical protein
group_4812		hypothetical protein
group_4813		hypothetical protein
group_4814		hypothetical protein
group_4815	brnQ_1	Branched-chain amino acid transport system 2 carrier protein
group_4816		hypothetical protein
group_4817		hypothetical protein
rsmG_2		Ribosomal RNA small subunit methyltransferase G
alaS_1		Alanine--tRNA ligase
vraS_1		Sensor protein VraS
group_4821	yezG_2	putative antitoxin YezG
group_4822		hypothetical protein
group_4823		hypothetical protein
group_4824		hypothetical protein
topA_2		DNA topoisomerase 1
group_4826		hypothetical protein
group_4827		hypothetical protein
group_4828		hypothetical protein
ltaS_2		Lipoteichoic acid synthase
ltaS_3		Lipoteichoic acid synthase
group_4831	guaC_2	GMP reductase
ldh2_1		L-lactate dehydrogenase 2
group_4833		hypothetical protein
group_4834		Antibacterial protein 3
glpF_2		Glycerol uptake facilitator protein
group_4836		hypothetical protein
group_4837		hypothetical protein
group_4838		hypothetical protein
odhB_2		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
group_484	yezG_6	putative antitoxin YezG
group_4840		hypothetical protein
group_4841		hypothetical protein
group_4842	argR_2	Arginine repressor
group_4843		hypothetical protein
group_4844		Putative 2-dehydropantoate 2-reductase
group_4845		hypothetical protein
guaA_1		GMP synthase [glutamine-hydrolyzing]
cggR_2		Central glycolytic genes regulator
mnhD1_3		Na( )/H( ) antiporter subunit D1
rlmN_2		putative dual-specificity RNA methyltransferase RlmN
cysK_2		Cysteine synthase
group_4851		hypothetical protein
gpsA_2		Glycerol-3-phosphate dehydrogenase [NAD(P) ]
group_4853		hypothetical protein
group_4854		hypothetical protein
group_4855		hypothetical protein
group_4856		hypothetical protein
group_4857		hypothetical protein
group_4858		hypothetical protein
group_4859		hypothetical protein
group_4899		hypothetical protein
group_490		hypothetical protein
group_4900		hypothetical protein
group_4904		hypothetical protein
group_4908		hypothetical protein
group_4912		hypothetical protein
group_4927		hypothetical protein
group_4950		hypothetical protein
group_496		hypothetical protein
group_499		hypothetical protein
group_500		hypothetical protein
group_5019		hypothetical protein
group_502		hypothetical protein
group_5020		hypothetical protein
liuE		3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
group_5022		hypothetical protein
group_5023		hypothetical protein
isdF_1		putative heme-iron transport system permease protein IsdF
group_5025		hypothetical protein
group_5026		hypothetical protein
group_5027		hypothetical protein
group_503		hypothetical protein
group_504		hypothetical protein
group_5042		hypothetical protein
group_5043		hypothetical protein
group_5044		hypothetical protein
group_5045		hypothetical protein
group_5048		hypothetical protein
group_505		hypothetical protein
group_5050		hypothetical protein
group_5053		hypothetical protein
group_5054		hypothetical protein
group_5055		hypothetical protein
group_5056		hypothetical protein
group_5057		hypothetical protein
group_5058		hypothetical protein
group_5059		hypothetical protein
group_5060		hypothetical protein
nnrD_2		ADP-dependent (S)-NAD(P)H-hydrate dehydratase
group_5069		hypothetical protein
group_507		hypothetical protein
group_5070		hypothetical protein
group_5071		hypothetical protein
group_5072		hypothetical protein
group_5073		hypothetical protein
group_5075		hypothetical protein
group_5078	coaD	Phosphopantetheine adenylyltransferase
group_5085		hypothetical protein
group_5087		hypothetical protein
group_509		hypothetical protein
group_5095		hypothetical protein
group_5096		hypothetical protein
clpE		ATP-dependent Clp protease ATP-binding subunit ClpE
group_51	fnbA_1	Fibronectin-binding protein A
group_5102	yezG_2	putative antitoxin YezG
group_5103	recF_2	DNA replication and repair protein RecF
group_5104		hypothetical protein
group_5105		hypothetical protein
group_5107		hypothetical protein
group_5108		hypothetical protein
group_5109		hypothetical protein
group_5110		hypothetical protein
group_5114		hypothetical protein
group_5121		hypothetical protein
group_5125	entD_2	Enterotoxin type D
group_5126	entD_2	Enterotoxin type D
group_5140		hypothetical protein
group_5141		hypothetical protein
entG_2		Enterotoxin type G
group_5144	entG_2	Enterotoxin type G
group_5147		hypothetical protein
group_5173		hypothetical protein
group_5175		hypothetical protein
group_5176		hypothetical protein
group_5177		hypothetical protein
group_5178		hypothetical protein
group_518		hypothetical protein
group_5180	argR_2	Arginine repressor
group_5181		hypothetical protein
group_5182	repD	Replication initiation protein
group_5187		hypothetical protein
group_5188		hypothetical protein
group_5189	Int-Tn_2	Transposase from transposon Tn916
group_5190		hypothetical protein
group_5191	repE	Replication initiation protein
group_5192		hypothetical protein
group_5193		hypothetical protein
group_5194		hypothetical protein
group_5195		hypothetical protein
group_5196		hypothetical protein
group_5197		hypothetical protein
ettA_1		Energy-dependent translational throttle protein EttA
group_5199		hypothetical protein
group_52	fnbA_2	Fibronectin-binding protein A
group_520		hypothetical protein
bbmA		Intracellular maltogenic amylase
lacF_1		Lactose transport system permease protein LacF
group_5202		hypothetical protein
group_5203	pdhB	Pyruvate dehydrogenase E1 component subunit beta
group_5204		hypothetical protein
group_5207		hypothetical protein
group_5209		hypothetical protein
group_5210		hypothetical protein
group_5212		hypothetical protein
group_5215		hypothetical protein
group_5216		hypothetical protein
group_5217		hypothetical protein
group_5218		hypothetical protein
group_5220		hypothetical protein
group_5221		hypothetical protein
group_5222		hypothetical protein
group_5223		hypothetical protein
group_5224	hxlR	HTH-type transcriptional activator HxlR
hxlB_1		3-hexulose-6-phosphate isomerase
group_5226		3-hexulose-6-phosphate synthase
pgi_1		Glucose-6-phosphate isomerase
gnd_1		6-phosphogluconate dehydrogenase, decarboxylating
zwf_1		Glucose-6-phosphate 1-dehydrogenase
group_523		hypothetical protein
group_5231		hypothetical protein
group_5233		hypothetical protein
group_5234		hypothetical protein
ileS_2		Isoleucine--tRNA ligase
group_5242		hypothetical protein
group_5243		hypothetical protein
group_527		hypothetical protein
group_528		hypothetical protein
